unidad_academica,id_estudiante,estado_civil,sexo,sit_laboral,tipo_residencia,anio_nacimiento,anio_egreso_med
ESCINFO,ESCINFO-5897,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-5970,1.0,2,NC,2.0,2001,2019
ESCINFO,ESCINFO-5860,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5669,1.0,1,NC,-1.0,2002,2018
ESCINFO,ESCINFO-6071,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-6104,1.0,2,NC,1.0,2004,2020
ESCINFO,ESCINFO-5929,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-6151,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-6183,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-6360,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-6114,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5823,1.0,1,NC,1.0,2002,2019
ESCINFO,ESCINFO-6137,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-6152,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6226,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6169,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-6129,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-6366,1.0,2,NC,1.0,2004,2020
ESCINFO,ESCINFO-6342,1.0,1,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5101,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5978,1.0,1,NC,2.0,2002,2018
ESCINFO,ESCINFO-6199,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6312,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-6448,1.0,2,NC,1.0,2001,2018
ESCINFO,ESCINFO-5982,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-6356,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-4628,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5072,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5210,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5119,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-5353,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5225,1.0,2,NC,1.0,2001,2018
ESCINFO,ESCINFO-5427,1.0,1,NC,1.0,2002,2019
ESCINFO,ESCINFO-5879,1.0,2,NC,1.0,2003,2018
ESCINFO,ESCINFO-6284,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-6422,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-1451,1.0,2,NC,1.0,2004,2020
ESCINFO,ESCINFO-5833,1.0,2,NC,2.0,2004,2020
ESCINFO,ESCINFO-6326,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5928,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-5818,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-6038,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-6179,1.0,2,NC,1.0,2002,2018
ESCINFO,ESCINFO-6051,1.0,1,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5985,1.0,2,NC,1.0,2001,2018
